Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,166.370000,-58.050000,90.000000,bottom
C2,1uF,C_0603_1608Metric,183.500000,-52.875000,90.000000,bottom
C3,1uF,C_0603_1608Metric,200.500000,-48.475000,90.000000,bottom
C4,1uF,C_0603_1608Metric,221.750000,-49.700000,180.000000,bottom
C5,1uF,C_0603_1608Metric,166.200000,-75.025000,90.000000,bottom
C6,1uF,C_0603_1608Metric,182.800000,-69.800000,90.000000,bottom
C7,1uF,C_0603_1608Metric,200.100000,-65.475000,90.000000,bottom
C8,1uF,C_0603_1608Metric,221.300000,-67.100000,180.000000,bottom
C9,1uF,C_0603_1608Metric,165.700000,-91.975000,90.000000,bottom
C10,1uF,C_0603_1608Metric,183.100000,-87.000000,90.000000,bottom
C11,1uF,C_0603_1608Metric,199.750000,-82.250000,90.000000,bottom
C12,1uF,C_0603_1608Metric,221.425000,-84.250000,180.000000,bottom
C13,1uF,C_0603_1608Metric,225.250000,-104.025000,90.000000,bottom
C14,1uF,C_0603_1608Metric,242.000000,-103.975000,90.000000,bottom
C15,1uF,C_0603_1608Metric,259.475000,-97.500000,0.000000,bottom
C16,1uF,C_0603_1608Metric,259.275000,-82.000000,0.000000,bottom
C17,4.7uF,C_0603_1608Metric,234.750000,-85.975000,-90.000000,bottom
D01,D,D_SOD-323,179.408564,-60.635769,-90.000000,bottom
D02,D,D_SOD-323,196.358564,-55.535769,-90.000000,bottom
D03,D,D_SOD-323,213.358564,-56.000000,-90.000000,bottom
D04,D,D_SOD-323,218.708564,-58.335769,-90.000000,bottom
D05,D,D_SOD-323,179.358564,-77.535769,-90.000000,bottom
D06,D,D_SOD-323,196.358564,-72.285769,-90.000000,bottom
D07,D,D_SOD-323,213.408564,-71.535769,-90.000000,bottom
D08,D,D_SOD-323,218.708564,-75.435769,-90.000000,bottom
D09,D,D_SOD-323,179.408564,-95.035769,-90.000000,bottom
D10,D,D_SOD-323,196.358564,-89.385769,-90.000000,bottom
D11,D,D_SOD-323,213.400000,-89.250000,-90.000000,bottom
D12,D,D_SOD-323,218.758564,-92.335769,-90.000000,bottom
D13,D,D_SOD-323,238.908564,-108.885769,-90.000000,bottom
D14,D,D_SOD-323,244.308564,-109.735769,-90.000000,bottom
D15,D,D_SOD-323,261.550000,-111.000000,0.000000,bottom
IC1,AP7335-WG-7,SOT-23-5_HandSoldering,259.550000,-88.150000,-90.000000,bottom
J1,USB_C,MB_Molex-216990_USB_TYPE-C,264.850000,-52.145000,-90.000000,bottom
LED01,SK6812MINI,MB_SK6812_Mini,170.900000,-58.075000,180.000000,bottom
LED02,SK6812MINI,MB_SK6812_Mini,187.850000,-53.025000,180.000000,bottom
LED03,SK6812MINI,MB_SK6812_Mini,204.900000,-48.575000,180.000000,bottom
LED04,SK6812MINI,MB_SK6812_Mini,221.900000,-53.075000,180.000000,bottom
LED05,SK6812MINI,MB_SK6812_Mini,170.825000,-75.080000,180.000000,bottom
LED06,SK6812MINI,MB_SK6812_Mini,187.850000,-70.025000,180.000000,bottom
LED07,SK6812MINI,MB_SK6812_Mini,204.850000,-65.475000,180.000000,bottom
LED08,SK6812MINI,MB_SK6812_Mini,221.900000,-70.075000,180.000000,bottom
LED09,SK6812MINI,MB_SK6812_Mini,170.825000,-92.080000,180.000000,bottom
LED10,SK6812MINI,MB_SK6812_Mini,187.850000,-87.075000,180.000000,bottom
LED11,SK6812MINI,MB_SK6812_Mini,204.875000,-82.530000,180.000000,bottom
LED12,SK6812MINI,MB_SK6812_Mini,221.950000,-87.125000,180.000000,bottom
LED13,SK6812MINI,MB_SK6812_Mini,230.400000,-104.125000,180.000000,bottom
LED14,SK6812MINI,MB_SK6812_Mini,247.450000,-104.125000,180.000000,bottom
R1,500,R_0805,224.458564,-46.535769,180.000000,bottom
R2,10k,R_0805,261.500000,-92.250000,0.000000,bottom
R3,15k,R_0805,259.500000,-94.750000,180.000000,bottom
R4,39,R_0805,251.000000,-87.250000,90.000000,bottom
R5,10k,R_0805,243.500000,-72.750000,0.000000,bottom
