Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,244.750000,-58.050000,90.000000,bottom
C2,1uF,C_0603_1608Metric,227.750000,-53.275000,90.000000,bottom
C3,1uF,C_0603_1608Metric,211.000000,-49.225000,90.000000,bottom
C4,1uF,C_0603_1608Metric,198.649042,-49.700000,180.000000,bottom
C5,1uF,C_0603_1608Metric,244.500000,-75.025000,90.000000,bottom
C6,1uF,C_0603_1608Metric,227.750000,-70.025000,90.000000,bottom
C7,1uF,C_0603_1608Metric,210.500000,-65.475000,90.000000,bottom
C8,1uF,C_0603_1608Metric,199.099042,-67.100000,180.000000,bottom
C9,1uF,C_0603_1608Metric,244.500000,-91.975000,90.000000,bottom
C10,1uF,C_0603_1608Metric,227.500000,-86.975000,90.000000,bottom
C11,1uF,C_0603_1608Metric,210.500000,-82.475000,90.000000,bottom
C12,1uF,C_0603_1608Metric,198.974042,-84.250000,180.000000,bottom
C13,1uF,C_0603_1608Metric,185.250000,-104.025000,90.000000,bottom
C14,1uF,C_0603_1608Metric,167.750000,-103.975000,90.000000,bottom
C15,1uF,C_0603_1608Metric,160.924042,-97.500000,180.000000,bottom
C16,1uF,C_0603_1608Metric,160.225000,-82.250000,180.000000,bottom
C17,4.7uF,C_0603_1608Metric,169.859807,-85.970728,-90.000000,bottom
D01,D,D_SOD-323,240.990478,-60.635769,-90.000000,bottom
D02,D,D_SOD-323,224.040478,-55.535769,-90.000000,bottom
D03,D,D_SOD-323,207.040478,-56.000000,-90.000000,bottom
D04,D,D_SOD-323,201.690478,-58.335769,-90.000000,bottom
D05,D,D_SOD-323,241.040478,-77.535769,-90.000000,bottom
D06,D,D_SOD-323,224.040478,-72.285769,-90.000000,bottom
D07,D,D_SOD-323,206.990478,-71.535769,-90.000000,bottom
D08,D,D_SOD-323,201.690478,-75.950000,-90.000000,bottom
D09,D,D_SOD-323,240.990478,-95.035769,-90.000000,bottom
D10,D,D_SOD-323,224.040478,-89.385769,-90.000000,bottom
D11,D,D_SOD-323,206.999042,-89.250000,-90.000000,bottom
D12,D,D_SOD-323,195.250000,-92.800000,-90.000000,bottom
D13,D,D_SOD-323,181.490478,-108.885769,-90.000000,bottom
D14,D,D_SOD-323,176.090478,-109.735769,-90.000000,bottom
D15,D,D_SOD-323,161.320000,-111.060000,180.000000,bottom
IC1,AP7335-WG-7,SOT-23-5_HandSoldering,162.050000,-87.950000,-90.000000,bottom
J1,USB_C,MB_Molex-216990_USB_TYPE-C,155.584190,-52.144234,90.000000,bottom
LED01,SK6812MINI,MB_SK6812_Mini,249.499042,-58.075000,180.000000,bottom
LED02,SK6812MINI,MB_SK6812_Mini,232.549042,-53.025000,180.000000,bottom
LED03,SK6812MINI,MB_SK6812_Mini,215.499042,-48.575000,180.000000,bottom
LED04,SK6812MINI,MB_SK6812_Mini,198.499042,-53.075000,180.000000,bottom
LED05,SK6812MINI,MB_SK6812_Mini,249.574042,-75.080000,180.000000,bottom
LED06,SK6812MINI,MB_SK6812_Mini,232.549042,-70.025000,180.000000,bottom
LED07,SK6812MINI,MB_SK6812_Mini,215.549042,-65.475000,180.000000,bottom
LED08,SK6812MINI,MB_SK6812_Mini,198.499042,-70.075000,180.000000,bottom
LED09,SK6812MINI,MB_SK6812_Mini,249.574042,-92.080000,180.000000,bottom
LED10,SK6812MINI,MB_SK6812_Mini,232.549042,-87.075000,180.000000,bottom
LED11,SK6812MINI,MB_SK6812_Mini,215.524042,-82.530000,180.000000,bottom
LED12,SK6812MINI,MB_SK6812_Mini,198.449042,-87.125000,180.000000,bottom
LED13,SK6812MINI,MB_SK6812_Mini,189.999042,-104.125000,180.000000,bottom
LED14,SK6812MINI,MB_SK6812_Mini,172.949042,-104.125000,180.000000,bottom
R1,500,R_0805,195.940478,-46.535769,0.000000,bottom
R2,10k,R_0805,158.899042,-92.250000,180.000000,bottom
R3,15k,R_0805,160.899042,-94.750000,0.000000,bottom
R4,39,R_0805,186.109807,-87.050000,90.000000,bottom
R5,10k,R_0805,175.000000,-73.000000,0.000000,bottom
